[2026-04-29 00:11:45,295] INFO django.utils.autoreload Watching for file changes with StatReloader
C:\Users\xavie\OneDrive\Documents\python\venv\Lib\site-packages\requests\__init__.py:113: RequestsDependencyWarning: urllib3 (2.4.0) or chardet (7.4.1)/charset_normalizer (3.4.2) doesn't match a supported version!
  warnings.warn(
[2026-04-29 00:11:46,131] INFO django.server "OPTIONS /api/token/verify/ HTTP/1.1" 200 0
[2026-04-29 00:11:46,160] INFO plantae_api >> POST /api/token/verify/
[2026-04-29 00:11:46,235] INFO plantae_api << POST /api/token/verify/ | Status: 200 | Duration: 49ms
[2026-04-29 00:11:46,265] INFO django.server "POST /api/token/verify/ HTTP/1.1" 200 2
[2026-04-29 00:12:15,378] INFO django.server "OPTIONS /api/token/verify/ HTTP/1.1" 200 0
[2026-04-29 00:12:15,380] INFO plantae_api >> POST /api/token/verify/
[2026-04-29 00:12:15,382] INFO plantae_api << POST /api/token/verify/ | Status: 200 | Duration: 2ms
[2026-04-29 00:12:15,383] INFO django.server "POST /api/token/verify/ HTTP/1.1" 200 2
[2026-04-29 00:12:45,379] INFO django.server "OPTIONS /api/token/verify/ HTTP/1.1" 200 0
[2026-04-29 00:12:45,382] INFO plantae_api >> POST /api/token/verify/
[2026-04-29 00:12:45,400] INFO plantae_api << POST /api/token/verify/ | Status: 200 | Duration: 1ms
[2026-04-29 00:12:45,404] INFO django.server "POST /api/token/verify/ HTTP/1.1" 200 2
[2026-04-29 00:13:15,390] INFO django.server "OPTIONS /api/token/verify/ HTTP/1.1" 200 0
[2026-04-29 00:13:15,393] INFO plantae_api >> POST /api/token/verify/
[2026-04-29 00:13:15,395] INFO plantae_api << POST /api/token/verify/ | Status: 200 | Duration: 2ms
[2026-04-29 00:13:15,395] INFO django.server "POST /api/token/verify/ HTTP/1.1" 200 2
[2026-04-29 00:13:45,399] INFO django.server "OPTIONS /api/token/verify/ HTTP/1.1" 200 0
[2026-04-29 00:13:45,402] INFO plantae_api >> POST /api/token/verify/
[2026-04-29 00:13:45,403] INFO plantae_api << POST /api/token/verify/ | Status: 200 | Duration: 1ms
[2026-04-29 00:13:45,420] INFO django.server "POST /api/token/verify/ HTTP/1.1" 200 2
[2026-04-29 00:14:15,410] INFO django.server "OPTIONS /api/token/verify/ HTTP/1.1" 200 0
[2026-04-29 00:14:15,412] INFO plantae_api >> POST /api/token/verify/
[2026-04-29 00:14:15,414] INFO plantae_api << POST /api/token/verify/ | Status: 200 | Duration: 2ms
[2026-04-29 00:14:15,415] INFO django.server "POST /api/token/verify/ HTTP/1.1" 200 2
[2026-04-29 00:14:45,435] INFO django.server "OPTIONS /api/token/verify/ HTTP/1.1" 200 0
[2026-04-29 00:14:45,438] INFO plantae_api >> POST /api/token/verify/
[2026-04-29 00:14:45,442] INFO plantae_api << POST /api/token/verify/ | Status: 200 | Duration: 1ms
[2026-04-29 00:14:45,446] INFO django.server "POST /api/token/verify/ HTTP/1.1" 200 2
[2026-04-29 00:15:18,541] INFO django.server "OPTIONS /api/token/verify/ HTTP/1.1" 200 0
[2026-04-29 00:15:18,543] INFO plantae_api >> POST /api/token/verify/
[2026-04-29 00:15:18,546] INFO plantae_api << POST /api/token/verify/ | Status: 200 | Duration: 2ms
[2026-04-29 00:15:18,547] INFO django.server "POST /api/token/verify/ HTTP/1.1" 200 2
[2026-04-29 00:15:48,542] INFO django.server "OPTIONS /api/token/verify/ HTTP/1.1" 200 0
[2026-04-29 00:15:48,544] INFO plantae_api >> POST /api/token/verify/
[2026-04-29 00:15:48,563] INFO plantae_api << POST /api/token/verify/ | Status: 200 | Duration: 2ms
[2026-04-29 00:15:48,566] INFO django.server "POST /api/token/verify/ HTTP/1.1" 200 2
[2026-04-29 00:16:18,541] INFO django.server "OPTIONS /api/token/verify/ HTTP/1.1" 200 0
[2026-04-29 00:16:18,544] INFO plantae_api >> POST /api/token/verify/
[2026-04-29 00:16:18,883] ERROR plantae_api HTTP 401 | UNAUTHORIZED | View: TokenVerifyView | Path: /api/token/verify/
[2026-04-29 00:16:18,961] INFO plantae_api << POST /api/token/verify/ | Status: 401 | Duration: 416ms
[2026-04-29 00:16:18,964] WARNING django.request Unauthorized: /api/token/verify/
[2026-04-29 00:16:18,965] WARNING django.server "POST /api/token/verify/ HTTP/1.1" 401 90
[2026-04-29 00:20:40,334] INFO django.server "OPTIONS /api/v1/auth/login/ HTTP/1.1" 200 0
[2026-04-29 00:20:40,337] INFO plantae_api >> POST /api/v1/auth/login/
[2026-04-29 00:20:40,920] INFO plantae_api << POST /api/v1/auth/login/ | Status: 200 | Duration: 565ms
[2026-04-29 00:20:40,921] INFO django.server "POST /api/v1/auth/login/ HTTP/1.1" 200 507
[2026-04-29 00:20:40,928] INFO django.server "OPTIONS /api/token/verify/ HTTP/1.1" 200 0
[2026-04-29 00:20:40,930] INFO plantae_api >> POST /api/token/verify/
[2026-04-29 00:20:40,933] INFO plantae_api << POST /api/token/verify/ | Status: 200 | Duration: 2ms
[2026-04-29 00:20:40,934] INFO django.server "POST /api/token/verify/ HTTP/1.1" 200 2
[2026-04-29 00:20:40,939] INFO django.server "OPTIONS /api/v1/auth/profile/ HTTP/1.1" 200 0
[2026-04-29 00:20:40,940] INFO django.server "OPTIONS /api/v1/plants/?page=1 HTTP/1.1" 200 0
[2026-04-29 00:20:40,941] INFO plantae_api >> GET /api/v1/auth/profile/
[2026-04-29 00:20:40,941] INFO plantae_api >> GET /api/v1/plants/
[2026-04-29 00:20:40,944] INFO plantae_api << GET /api/v1/auth/profile/ | Status: 200 | Duration: 2ms
[2026-04-29 00:20:40,946] INFO django.server "GET /api/v1/auth/profile/ HTTP/1.1" 200 65
[2026-04-29 00:20:40,951] INFO plantae_api << GET /api/v1/plants/ | Status: 200 | Duration: 9ms
[2026-04-29 00:20:40,952] INFO django.server "GET /api/v1/plants/?page=1 HTTP/1.1" 200 34743
[2026-04-29 00:21:09,687] INFO django.server "OPTIONS /api/token/verify/ HTTP/1.1" 200 0
[2026-04-29 00:21:09,691] INFO plantae_api >> POST /api/token/verify/
[2026-04-29 00:21:09,694] INFO plantae_api << POST /api/token/verify/ | Status: 200 | Duration: 2ms
[2026-04-29 00:21:09,695] INFO django.server "POST /api/token/verify/ HTTP/1.1" 200 2
[2026-04-29 00:21:11,287] INFO django.server "OPTIONS /api/token/verify/ HTTP/1.1" 200 0
[2026-04-29 00:21:11,289] INFO plantae_api >> POST /api/token/verify/
[2026-04-29 00:21:11,292] INFO plantae_api << POST /api/token/verify/ | Status: 200 | Duration: 3ms
[2026-04-29 00:21:11,293] INFO django.server "POST /api/token/verify/ HTTP/1.1" 200 2
[2026-04-29 00:21:37,008] INFO django.server "OPTIONS /api/token/verify/ HTTP/1.1" 200 0
[2026-04-29 00:21:37,010] INFO plantae_api >> POST /api/token/verify/
[2026-04-29 00:21:37,013] INFO plantae_api << POST /api/token/verify/ | Status: 200 | Duration: 2ms
[2026-04-29 00:21:37,013] INFO django.server "POST /api/token/verify/ HTTP/1.1" 200 2
[2026-04-29 00:21:37,026] INFO django.server "OPTIONS /api/v1/plants/?page=1 HTTP/1.1" 200 0
[2026-04-29 00:21:37,026] INFO django.server "OPTIONS /api/v1/auth/profile/ HTTP/1.1" 200 0
[2026-04-29 00:21:37,028] INFO plantae_api >> GET /api/v1/plants/
[2026-04-29 00:21:37,028] INFO plantae_api >> GET /api/v1/auth/profile/
[2026-04-29 00:21:37,037] INFO plantae_api << GET /api/v1/auth/profile/ | Status: 200 | Duration: 6ms
[2026-04-29 00:21:37,046] INFO django.server "GET /api/v1/auth/profile/ HTTP/1.1" 200 65
[2026-04-29 00:21:37,053] INFO plantae_api << GET /api/v1/plants/ | Status: 200 | Duration: 23ms
[2026-04-29 00:21:37,055] INFO django.server "GET /api/v1/plants/?page=1 HTTP/1.1" 200 34743
[2026-04-29 00:21:42,008] INFO django.server "OPTIONS /api/token/verify/ HTTP/1.1" 200 0
[2026-04-29 00:21:42,009] INFO plantae_api >> POST /api/token/verify/
[2026-04-29 00:21:42,011] INFO plantae_api << POST /api/token/verify/ | Status: 200 | Duration: 1ms
[2026-04-29 00:21:42,013] INFO django.server "POST /api/token/verify/ HTTP/1.1" 200 2
